1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
515.838,606.48,700.061,793.36,882.717,964.246,1034.118,1088.851,1126.697,1152.475,1166.45,1168.184,1157.621,1135.449,1104.403,1065.569,1019.835,968.217,911.821,851.806,789.344
434.244,518.131,603.313,685.557,760.225,822.693,868.823,895.41,903.597,911.117,921.053,933.482,948.502,963.78,964.502,948.222,915.796,868.899,809.882,741.577,667.071
371.165,466.286,564.132,657.283,737.508,796.938,829.326,831.131,806.384,781.73,761.202,744.51,731.424,721.029,708.863,694.313,677.534,658.704,638.018,615.685,591.926
247.024,331.18,425.045,522.219,614.209,691.553,745.386,769.1,762.867,745.908,721.955,691.71,656.034,617.117,582.573,553.0,527.828,506.584,488.88,474.401,462.893
154.046,207.147,268.878,336.884,407.431,475.638,535.979,582.999,612.892,627.459,626.353,609.658,578.609,537.753,502.193,473.275,450.103,431.981,418.382,408.919,403.326
97.316,129.442,166.782,208.164,251.677,294.758,334.403,367.499,391.916,409.901,421.194,425.208,421.734,411.926,401.893,392.59,383.978,376.021,368.685,361.941,355.76
67.118,94.118,125.506,159.156,191.93,220.103,240.034,248.932,247.053,243.677,240.376,237.149,233.993,231.192,230.429,231.971,235.863,242.225,251.251,263.225,278.533
46.689,56.873,68.288,80.825,94.296,108.442,122.929,137.362,150.939,160.805,165.703,165.156,159.218,149.533,142.829,139.748,140.063,143.797,151.225,162.91,179.772
36.638,44.973,53.975,63.339,72.674,81.529,89.429,95.912,100.61,103.429,104.237,102.986,99.749,95.139,91.794,89.994,89.652,90.752,93.346,97.563,103.614
18.6,24.957,32.231,40.068,47.944,55.22,61.218,65.326,67.063,66.024,62.304,56.353,48.856,41.118,36.256,33.924,33.682,35.486,39.672,47.063,59.244
24.881999999999998,28.32,32.403,37.272999999999996,43.093,50.07899999999999,58.5,68.694,80.30300000000001,88.08500000000001,89.79299999999999,85.083,74.964,62.39000000000001,53.801,48.79600000000001,46.557,46.78500000000001,49.613,55.694,66.483
