1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
158.17,146.946,137.542,129.704,123.229,117.954,113.751,110.52,108.303,107.749,108.951,111.968,116.95,124.743,139.805,165.419,206.634,272.503,379.399,557.667,865.383
154.14,138.125,126.965,119.715,115.789,114.879,116.914,122.052,129.951,136.319,140.08,141.007,139.042,135.805,140.427,155.441,184.189,233.639,317.256,461.164,717.604
162.64,153.679,145.696,138.588,132.266,126.654,121.684,117.299,113.587,111.304,110.501,111.147,113.268,117.492,127.552,145.601,174.758,220.549,292.665,408.349,599.084
153.31,143.006,135.348,129.976,126.645,125.207,125.598,127.835,131.555,134.034,134.727,133.605,130.713,127.215,129.435,138.821,156.946,187.039,234.967,311.151,434.335
104.722,111.673,117.406,121.693,124.359,125.291,124.451,121.873,118.027,115.137,113.483,113.015,113.717,115.949,121.91,132.56,149.068,173.361,208.506,259.348,333.615
61.635,67.39,73.261,79.188,85.103,90.937,96.614,102.058,107.081,110.898,113.25,114.038,113.231,111.593,113.563,120.122,132.067,150.923,179.268,221.327,284.024
53.398,58.773,63.949,68.785,73.139,76.879,79.885,82.059,83.479,85.032,86.883,89.049,91.552,94.652,99.876,107.831,119.117,134.634,155.697,184.229,223.04
33.547,37.275,40.894,44.296,47.376,50.028,52.161,53.697,54.687,55.747,56.992,58.434,60.087,62.141,65.747,71.368,79.48,90.811,106.451,128.023,157.963
20.474,18.918,17.949,17.487,17.495,17.972,18.958,20.535,22.735,25.03,27.276,29.421,31.411,33.338,36.097,40.048,45.525,53.025,63.28,77.379,96.948
7.674,8.726,9.963,11.419,13.141,15.183,17.612,20.511,23.842,26.703,28.648,29.44,28.98,27.598,26.986,27.364,28.774,31.377,35.482,41.61,50.601
12.543999999999997,13.241999999999999,13.954,14.652999999999999,15.309999999999999,15.886000000000001,16.347,16.664,16.825999999999997,16.895000000000003,16.857,16.705,16.454,16.213,16.466,17.314999999999998,18.851999999999997,21.259,24.858999999999995,30.169,38.066
