1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
601.215,561.159,527.148,498.388,474.234,454.159,437.736,424.626,415.925,419.56,437.288,470.908,523.962,595.876,649.068,669.886,655.069,606.945,532.828,443.202,349.294
574.11,548.38,527.126,509.909,496.385,486.284,479.411,475.633,475.383,481.71,495.403,517.086,547.771,585.58,610.449,617.033,604.732,574.664,529.493,473.045,409.771
517.172,513.512,510.677,508.655,507.435,507.012,507.384,508.553,511.383,521.136,539.115,566.157,603.556,649.294,680.167,689.696,676.968,643.202,591.554,526.636,453.831
406.485,425.786,442.616,456.618,467.486,474.979,478.927,479.242,477.547,483.703,499.723,526.584,565.97,616.605,656.003,677.316,678.676,659.962,622.818,570.413,506.995
308.518,331.375,352.882,372.572,389.997,404.746,416.462,424.853,431.382,446.258,472.172,510.981,565.586,635.758,695.399,734.91,750.398,740.299,705.634,649.846,578.227
269.999,303.496,334.639,361.936,383.991,399.616,407.941,408.493,403.555,407.133,421.875,448.998,490.817,547.556,599.925,641.425,669.229,681.37,676.974,656.359,620.998
194.508,227.73,259.906,289.152,313.581,331.503,341.617,343.167,338.294,340.689,352.862,375.868,411.766,461.104,508.839,549.979,582.231,603.71,613.12,609.882,594.196
140.797,167.465,194.957,222.144,247.749,270.44,288.943,302.159,310.536,321.421,336.43,356.1,381.16,411.399,440.169,465.519,486.652,502.878,513.653,518.608,517.573
119.021,140.166,161.761,182.946,202.763,220.227,234.405,244.501,250.895,259.233,270.743,285.821,305.001,328.14,350.482,370.681,388.208,402.586,413.412,420.374,423.271
71.151,91.375,112.728,133.597,152.097,166.343,174.762,176.381,172.364,171.013,173.633,180.408,191.823,207.959,224.883,241.684,258.139,274.013,289.071,303.074,315.797
81.196,109.186,141.12600000000003,175.076,208.227,237.238,258.802,270.311,272.347,276.409,284.53200000000004,297.009,314.384,336.63399999999996,359.107,380.63,400.877,419.59799999999996,436.65600000000006,452.08000000000004,466.12799999999993
