1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
163.965,169.112,172.384,173.67,172.924,170.171,165.508,159.095,151.797,147.526,146.668,149.166,155.191,165.416,182.258,207.894,245.496,300.119,379.829,497.657,675.023
173.682,177.848,180.736,182.279,182.444,181.227,178.655,174.786,170.15,167.421,166.946,168.705,172.771,179.76,192.915,214.084,245.667,291.511,357.692,453.845,595.457
157.622,149.233,143.512,140.182,139.084,140.165,143.477,149.177,156.983,163.666,168.448,171.151,171.671,171.168,176.841,190.626,214.397,251.591,308.042,393.516,524.51
122.391,119.229,118.039,118.763,121.437,126.191,133.266,143.028,155.203,165.1,171.288,173.317,171.037,165.992,166.551,174.213,189.973,215.963,255.942,316.215,407.285
79.852,81.93,85.117,89.54,95.377,102.87,112.346,124.237,138.336,149.978,157.434,160.01,157.461,151.383,150.055,154.735,165.995,185.255,215.086,259.789,326.435
38.546,42.652,47.391,52.873,59.232,66.63,75.261,85.361,96.776,106.73,113.986,117.885,118.062,115.552,116.762,122.928,134.843,154.11,183.511,227.677,294.309
15.378,18.833,22.952,27.835,33.592,40.34,48.207,57.326,67.527,76.653,83.469,87.188,87.364,84.924,85.67,90.703,100.786,117.536,143.855,184.787,249.118
9.825,11.339,12.929,14.566,16.213,17.829,19.371,20.794,22.148,24.01,26.605,30.134,34.887,41.241,49.455,60.095,73.998,92.333,116.746,149.582,194.208
3.541,4.792,6.231,7.782,9.338,10.765,11.922,12.684,13.075,13.737,14.836,16.47,18.794,22.036,26.488,32.631,41.196,53.299,70.669,96.026,133.719
1.319,1.53,1.768,2.034,2.332,2.663,3.029,3.431,3.878,4.417,5.078,5.892,6.9,8.187,10.069,12.883,17.151,23.755,34.234,51.328,80.071
1.615,2.322,3.131,3.952,4.672,5.168,5.349,5.180000000000001,4.7330000000000005,4.312,3.9739999999999998,3.743,3.667,3.849,4.537000000000001,5.899,8.334999999999999,12.739999999999998,21.178,38.935,81.775
