1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
2034.0,2153.0,2361.0,2311.0,2590.0,2200.0,2214.0,2080.0,2213.0,2299.0,2263.0,2661.0,2443.0,2199.0,2055.0,2094.0,1842.0,1973.0,2050.0,2153.0,2459.0
1803.0,1855.0,1958.0,2024.0,2029.0,1834.0,1753.0,1666.0,1649.0,1760.0,1771.0,1983.0,1964.0,1814.0,1785.0,1750.0,1686.0,1695.0,1785.0,1752.0,1943.0
1546.0,1640.0,1763.0,1866.0,1876.0,1714.0,1612.0,1489.0,1475.0,1514.0,1541.0,1545.0,1423.0,1462.0,1308.0,1326.0,1286.0,1446.0,1445.0,1494.0,1746.0
1312.0,1371.0,1397.0,1542.0,1568.0,1499.0,1531.0,1432.0,1441.0,1440.0,1465.0,1501.0,1399.0,1386.0,1281.0,1283.0,1195.0,1250.0,1312.0,1243.0,1418.0
1108.0,1229.0,1267.0,1293.0,1359.0,1326.0,1380.0,1368.0,1438.0,1425.0,1524.0,1564.0,1477.0,1435.0,1438.0,1403.0,1320.0,1419.0,1474.0,1452.0,1549.0
981.0,1000.0,1102.0,1199.0,1268.0,1232.0,1398.0,1379.0,1459.0,1495.0,1515.0,1564.0,1599.0,1605.0,1574.0,1626.0,1600.0,1792.0,1784.0,1778.0,1876.0
1065.0,1081.0,1082.0,1059.0,1120.0,1216.0,1214.0,1281.0,1371.0,1458.0,1580.0,1648.0,1585.0,1710.0,1760.0,1886.0,1860.0,1929.0,2116.0,2213.0,2272.0
1190.0,1243.0,1283.0,1353.0,1350.0,1375.0,1318.0,1309.0,1361.0,1433.0,1542.0,1592.0,1709.0,1693.0,1814.0,1942.0,1968.0,2147.0,2196.0,2397.0,2545.0
1428.0,1409.0,1433.0,1402.0,1470.0,1518.0,1444.0,1627.0,1583.0,1601.0,1706.0,1716.0,1737.0,1687.0,1773.0,1818.0,1958.0,2163.0,2274.0,2375.0,2561.0
1462.0,1441.0,1548.0,1646.0,1712.0,1731.0,1656.0,1733.0,1712.0,1813.0,1894.0,1878.0,1904.0,1857.0,1944.0,1971.0,2076.0,2172.0,2346.0,2411.0,2459.0
3586.0,3644.0,3710.0,3749.0,4002.0,4497.0,4541.0,4784.0,4888.0,5318.0,5993.0,6000.0,6197.0,6142.0,6219.0,6531.0,6973.0,7660.0,7926.0,8132.0,8557.0
