1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
290.87,172.593,111.336,78.081,59.53,49.343,44.463,43.558,45.655,46.512,45.329,42.258,37.685,32.53,29.178,27.518,27.288,28.453,31.194,35.958,43.584
322.825,186.385,117.8,81.501,61.727,51.177,46.448,46.147,49.409,51.899,52.65,51.585,48.814,44.967,42.296,40.944,40.793,41.828,44.142,47.943,53.592
337.33,197.65,127.889,91.384,72.111,62.839,60.472,64.265,73.77,80.085,80.424,74.709,64.198,51.938,43.974,39.658,38.096,38.979,42.482,49.317,60.981
367.162,256.987,188.307,144.452,116.006,97.531,85.843,79.099,75.67,71.499,66.173,59.989,53.268,46.737,42.702,40.985,41.322,43.766,48.693,56.91,69.871
364.258,238.759,167.778,126.396,102.084,88.39,82.049,81.652,86.011,88.846,88.856,86.041,80.665,73.759,68.733,65.753,64.576,65.106,67.387,71.603,78.107
326.399,221.568,160.314,123.634,101.627,89.04,83.151,82.766,86.977,91.142,94.332,96.433,97.368,97.239,96.852,96.344,95.717,94.975,94.118,93.151,92.077
292.873,215.401,167.564,137.873,119.99,110.452,107.54,110.747,119.208,124.908,125.903,122.078,113.868,103.009,94.926,89.844,87.334,87.19,89.401,94.148,101.828
239.093,202.144,173.02,149.925,131.52,116.802,105.015,95.586,88.377,84.695,84.414,87.5,94.327,104.862,114.247,120.96,124.452,124.431,120.898,114.15,104.737
229.703,179.12,146.089,124.619,111.186,103.755,101.266,103.375,109.413,113.938,115.724,114.639,110.763,104.873,100.105,96.788,94.791,94.034,94.489,96.172,99.151
177.089,146.169,125.166,111.197,102.486,97.996,97.212,100.047,106.067,111.013,113.896,114.547,112.927,109.425,105.906,102.654,99.651,96.881,94.33,91.983,89.829
267.691,233.77399999999997,210.05,194.188,184.71499999999997,180.798,182.10799999999998,188.776,200.406,211.38400000000001,220.449,227.41400000000002,232.24800000000002,235.18200000000002,236.80300000000003,236.84500000000003,235.072,231.441,226.087,219.324,211.58999999999997
