1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
589.0,577.0,505.0,533.0,496.0,501.0,436.0,415.0,448.0,404.0,283.0,330.0,299.0,286.0,259.0,219.0,218.0,212.0,229.0,197.0,187.0
604.0,634.0,656.0,606.0,580.0,580.0,512.0,506.0,415.0,452.0,395.0,393.0,375.0,360.0,309.0,325.0,304.0,294.0,293.0,252.0,300.0
798.0,788.0,748.0,756.0,736.0,727.0,644.0,682.0,656.0,638.0,528.0,539.0,474.0,489.0,469.0,416.0,397.0,416.0,422.0,395.0,425.0
932.0,976.0,1008.0,991.0,997.0,1040.0,925.0,933.0,834.0,830.0,800.0,814.0,750.0,647.0,663.0,648.0,647.0,642.0,646.0,587.0,604.0
1195.0,1229.0,1239.0,1256.0,1237.0,1327.0,1268.0,1238.0,1238.0,1221.0,1104.0,1085.0,1106.0,1061.0,914.0,947.0,969.0,932.0,1024.0,931.0,975.0
1525.0,1540.0,1580.0,1647.0,1630.0,1682.0,1654.0,1599.0,1667.0,1648.0,1466.0,1481.0,1544.0,1479.0,1371.0,1439.0,1472.0,1510.0,1521.0,1369.0,1514.0
1884.0,2085.0,2046.0,1972.0,1975.0,2017.0,2109.0,2122.0,2156.0,2070.0,1932.0,1905.0,1933.0,1890.0,1959.0,1963.0,1986.0,2072.0,2112.0,2145.0,2310.0
2556.0,2896.0,2739.0,2755.0,2800.0,2848.0,2709.0,2641.0,2721.0,2657.0,2483.0,2401.0,2418.0,2438.0,2510.0,2590.0,2634.0,2706.0,2832.0,2922.0,3111.0
3288.0,3557.0,3516.0,3471.0,3541.0,3546.0,3488.0,3597.0,3639.0,3699.0,3231.0,3069.0,3067.0,2976.0,3115.0,3102.0,3287.0,3451.0,3593.0,3638.0,3859.0
3588.0,3986.0,4150.0,4409.0,4373.0,4680.0,4634.0,4592.0,4707.0,4644.0,4210.0,4057.0,4033.0,3724.0,4003.0,4006.0,4319.0,4383.0,4387.0,4522.0,4750.0
11737.0,13412.0,13792.0,14694.0,15203.0,16301.0,16715.0,17826.0,19185.0,19179.0,18030.0,17611.0,18587.0,18550.0,19727.0,20811.0,22591.0,24600.0,24798.0,26416.0,27434.0
