1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1326.0,1331.0,1374.0,1307.0,1282.0,1051.0,915.0,869.0,887.0,858.0,1226.0,1355.0,1275.0,1134.0,1181.0,1051.0,1002.0,907.0,954.0,951.0,813.0
1160.0,1111.0,1124.0,1180.0,1044.0,979.0,823.0,729.0,766.0,749.0,1046.0,1121.0,1093.0,988.0,1004.0,994.0,911.0,893.0,911.0,892.0,781.0
998.0,1017.0,1077.0,1087.0,1022.0,864.0,837.0,704.0,659.0,687.0,951.0,942.0,919.0,849.0,868.0,801.0,820.0,798.0,850.0,773.0,822.0
875.0,903.0,888.0,950.0,938.0,813.0,742.0,696.0,654.0,664.0,891.0,903.0,931.0,850.0,875.0,823.0,787.0,740.0,750.0,687.0,639.0
786.0,842.0,881.0,839.0,865.0,767.0,756.0,729.0,698.0,700.0,988.0,1051.0,1009.0,987.0,913.0,960.0,873.0,850.0,850.0,852.0,768.0
731.0,748.0,767.0,798.0,810.0,797.0,768.0,876.0,841.0,764.0,1111.0,1096.0,1121.0,1098.0,1082.0,1157.0,1134.0,1168.0,1135.0,1136.0,1104.0
734.0,747.0,734.0,736.0,768.0,808.0,808.0,810.0,903.0,858.0,1209.0,1269.0,1411.0,1271.0,1436.0,1380.0,1429.0,1417.0,1491.0,1427.0,1454.0
857.0,800.0,814.0,858.0,860.0,876.0,871.0,868.0,897.0,939.0,1351.0,1432.0,1548.0,1492.0,1494.0,1562.0,1600.0,1713.0,1779.0,1775.0,1759.0
934.0,915.0,884.0,872.0,918.0,940.0,999.0,975.0,1047.0,1072.0,1470.0,1537.0,1607.0,1551.0,1610.0,1684.0,1702.0,1881.0,2042.0,1914.0,2137.0
985.0,1038.0,993.0,1040.0,1141.0,1087.0,1124.0,1110.0,1097.0,1115.0,1717.0,1730.0,1851.0,1813.0,1848.0,1858.0,1911.0,2125.0,2077.0,2088.0,2205.0
2531.0,2549.0,2483.0,2648.0,2654.0,2998.0,3057.0,3137.0,3299.0,3574.0,5838.0,5984.0,6319.0,6199.0,6307.0,6366.0,6889.0,7526.0,7619.0,7866.0,7926.0
