parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,
a1[1],-8.470631867,6.0510160331315515,4.931944937381273,1.518176040010925,21.024628850939674,1.9049110496721364,0.002580865,-8.47
a1[2],-2.789485939,2.688926577879796,1.981726019771251,1.8600096420118506,21.024628850939674,1.5869159021180572,0.003161975,-2.79
a1[3],-0.336130892,1.9367679671052866,0.9654698325322157,9.832130020636058,12.739052214515215,1.0345547540430429,0.016714402076414097,-0.34
a1[4],-0.917362049,3.323104218328623,1.8900087825409253,2.9211240398270966,21.024628850939678,1.293091696400165,0.004965846,-0.92
a1[5],0.9144503559427873,0.19726240559024982,0.042352709533176595,19.72121645789683,21.024628850939678,1.0258854530262647,0.033525628792687424,0.91
a1[6],0.3718085845649383,1.8397421236397509,1.0067409752505998,7.770867409169754,12.739052214515215,1.164829079214248,0.013210301540638398,0.37
a1[7],0.7724694737059216,1.6154397704841421,0.7976591851972348,14.926085718283547,12.739052214515215,1.3030463815430098,0.025374013321507516,0.77
a1[8],1.868273185832389,0.053674219587996966,0.017889016965051015,5.275530166016291,16.947511136935855,1.1466826068034832,0.008968284,1.87
a1[9],1.5770594855628293,2.2834481952240187,0.9152379908173184,14.548849691880642,12.739052214515215,1.0789274812171123,0.024732720477558832,1.58
a1[10],2.749516771742138,0.006213703,0.001244095,27.630964311471413,55.35325076,0.9995215421200966,0.046972024,2.75
a1[11],3.793820412229138,0.010157458100470215,0.003710612,14.996989949658296,15.058945013337935,1.0159198107108858,0.025494548935828042,3.79
a2[1],-0.443754976,0.2949097271906216,0.090699963,12.357500926800142,12.739052214515215,1.0206183859419276,0.021007476377619693,-0.44
a2[2],-0.378260853,0.6133239729414236,0.1820201883208807,19.989098772224203,12.739052214515215,1.019437963961871,0.033981023,-0.38
a2[3],-0.019106121,0.034600131495862434,0.006920691,16.92045099089965,43.05068057687474,1.0049958545556152,0.02876439,-0.02
a2[4],0.28925804311543185,0.042308864,0.020796134433362375,5.835687408461805,21.024628850939678,1.1330208566547064,0.009920539,0.29
a2[5],0.6388190066384608,0.016093974,0.004285231,10.029908454215068,13.072104662206135,1.0850138701850938,0.017050621009030396,0.64
