parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
alpha(25-29),-5.952590719042214,0.018669046059096906,0.0005640432042485869,1084.273277284618,680.0119134839371,1.0044239546333225,2.2996739639963053
alpha(30-34),-5.967505214376801,0.017700122280185072,0.0005975751373844554,856.9819572166369,769.7039787703927,1.0039566618898084,1.8176036760411396
alpha(35-39),-5.929184570786367,0.018989113983401504,0.00045582123201350907,1738.709251758097,797.6035389832685,1.000316799263302,3.687690622829958
alpha(40-44),-5.859252477674607,0.01845180264877445,0.00045863744465658924,1645.6569310309278,597.1337917280999,0.9995718665439971,3.4903326285412795
alpha(45-49),-5.61770778075632,0.018484647032084748,0.0005664065634947892,1058.9353441545466,793.0973310498683,0.9991689368615886,2.2459338356159124
alpha(50-54),-5.259259075544093,0.017024424261591203,0.000495822855575629,1170.2764538927702,659.4099330076724,1.000136101972139,2.48208117646773
alpha(55-59),-4.795240275039874,0.01858192056410336,0.0004910416663138685,1430.323513927573,602.9594391812107,1.0011200767514805,3.033624284560803
alpha(60-64),-4.263571809798327,0.017874244950584765,0.000524622812404649,1165.0504994672272,765.2233349990378,0.999272821822432,2.4709972628628964
alpha(65-69),-3.6912848175475577,0.01759178835114712,0.0005133024848064954,1232.4380877021165,594.5769713623353,1.0045887848187334,2.613922008318557
alpha(70-74),-3.143131759424394,0.01765043151772816,0.0005461796499216788,1039.5693719747946,740.2344640549469,1.0028148839056479,2.2048598527535996
alpha(75+),-2.095070846008487,0.01761470103537003,0.0006107308502087295,834.8014953797725,718.9306309397423,1.0021585617493045,1.7705603414277555
beta(25-29),0.08212402277683134,0.006131423263837376,0.0001757734259014666,1215.046267799635,663.6519195542478,1.000824501816607,2.5770350756105853
beta(30-34),0.075198542158714,0.0063108468613760444,0.0002272099449938163,772.9541941134418,613.0972326960743,0.9994254381606366,1.639386188706954
beta(35-39),0.08279116855872515,0.0057729884974306875,0.00014239113725093803,1640.0863491134546,741.2214416156085,1.0005748070181162,3.478517782166015
beta(40-44),0.09017659869287455,0.006778565649007738,0.00019161364806934296,1247.183822825536,706.6648783277523,0.9993294649352203,2.645196765202944
beta(45-49),0.0938636245214992,0.006290650974882171,0.00018475005736234794,1165.8513288396114,668.7826030251924,1.0035633931466523,2.4726957705139267
beta(50-54),0.07594346674409237,0.0061932369538730565,0.0001827902953951842,1141.089333348462,686.8967287925116,1.0034982530590717,2.420177168865643
beta(55-59),0.12144362124832206,0.005951369697744559,0.00016137165601464655,1390.0107908186512,843.33196883254,0.999844495947753,2.9481235886628587
beta(60-64),0.09469781365087104,0.006326004190088451,0.00018832898626981628,1145.4827248278343,597.6023796689394,1.0004960119515918,2.42949526994811
beta(65-69),0.1034044011810772,0.006499098602575811,0.00019225490356203625,1121.2090492538955,650.1640365281081,1.0066588531157394,2.378012363473023
beta(70-74),0.08723069338542687,0.00626891534886424,0.0002085972307372378,906.0457800974149,743.4486970483883,0.9996384241164613,1.9216648923570274
beta(75+),0.09312604708156624,0.006531021652827572,0.00018450253600354,1287.8242230686226,787.3715732056388,1.0003802560604034,2.7313924432514423
sigma,0.8848269236769253,0.11969108349435308,0.005472329698017246,423.55764866023253,443.92176521960516,1.0031296454128422,0.8983385621333062
c,-0.2744703343644573,0.20307118204816285,0.015368901491928757,173.52311163829202,416.62566690155774,1.0188555650704734,0.368031372114556
kappa(1998),0.04741246394275975,1.0838774937247824,0.19189190490124688,33.303585680283305,61.387113990371454,1.0482708380176058,0.07063476570082781
kappa(1999),-2.001773826374719,1.142715059520774,0.20427548271475154,32.495794534014024,59.79241210374866,1.0473427179751726,0.06892149257463366
kappa(2000),-3.8603275532274504,1.153974953387869,0.20452933138699522,33.12094553206496,59.83636561513716,1.046901869056558,0.07024739767983405
