parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
alpha(25-29),-5.010790302007303,0.028073199957230316,0.0005879246544126456,2284.867130209812,766.0445226432704,0.9996762719418619,3.2179686186996848
alpha(30-34),-5.240891160754787,0.028714227335687046,0.0006816299678538465,1745.5638245678294,950.6876099798412,1.0039712092705793,2.458422870690459
alpha(35-39),-5.23048663300255,0.02734934221534,0.0006755696893359042,1644.5684752310287,847.0356142295631,1.0075358316664653,2.3161827112941475
alpha(40-44),-5.41461102500479,0.027154176315250987,0.0006074973065431687,2047.908760318553,878.445964683691,0.999316678065843,2.8842404171047487
alpha(45-49),-5.3717376464018285,0.02800373523845499,0.0006554112229813927,1856.089626005289,699.6499560406113,0.9991096719537441,2.614085559290525
alpha(50-54),-5.245232933290181,0.02782526857416463,0.0006487276258465133,1823.8915858961252,789.8957807475213,1.0001564384013448,2.5687383785792304
alpha(55-59),-5.0138355297665385,0.025886700276106997,0.0006186003377173921,1777.8365624587616,663.8773939677733,1.0012018247387102,2.5038752545071947
alpha(60-64),-4.639537874803941,0.026054051077485353,0.0005438950636747771,2321.543854768437,769.2823357846144,1.0018319540747096,3.269623503618752
alpha(65-69),-4.3145938100668335,0.02400989161297749,0.0006083644089025675,1557.387241488767,785.8979512416893,1.002007489067916,2.1933981210600715
alpha(70-74),-3.996273341892721,0.024273857638902992,0.0004801598653469488,2550.007559605611,596.9560543949583,1.0094591208144423,3.5913879611477912
alpha(75+),-3.095262203452613,0.026430394561402542,0.0005108602433979511,2605.7677855557968,740.0623412527428,1.0011986218479225,3.6699197299788415
beta(25-29),0.09000280944530872,0.008225810844638946,0.0002054665385575537,1616.7690114738884,653.1030687717326,1.0028201682209967,2.277030411887161
beta(30-34),0.09129020120093977,0.008616429484973933,0.00020059461852603425,1887.3202210714596,769.121778504175,0.999307223682808,2.658070206597796
beta(35-39),0.08747752705868178,0.00861272830993732,0.00019309620188561236,1997.5606460925283,835.8288297896382,0.9998641939518469,2.8133309758300706
beta(40-44),0.08602391048072583,0.007984705507442891,0.00016329085431572457,2454.5614395793586,850.2053190695648,0.9991391372710542,3.4569632434212427
beta(45-49),0.10482121472671783,0.008718098158060267,0.0001826488758911774,2252.567215216999,720.3311392951232,0.9995049230281559,3.172477959107591
beta(50-54),0.10233096912727926,0.008340514218211675,0.00020939067556546116,1589.6443514062776,651.9649264562518,1.0010417940075171,2.2388284947006447
beta(55-59),0.10526303399213842,0.008017918771719007,0.0001940184801588162,1698.0161377493105,737.0439198132389,0.9998119653209645,2.3914575044988133
beta(60-64),0.09795266328636872,0.008418886916511497,0.00018361283630497597,2094.698528061297,731.4271761453774,0.9998466340382774,2.9501383427572443
beta(65-69),0.08202079886044883,0.00845400102614147,0.00020549213771794175,1705.6009588458437,669.5255096277114,1.0023507567387464,2.4021398395652094
