parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
alpha(25-29),-7.531152370221502,0.025246018502993378,0.0007381959161595574,1177.7423114176945,679.6304456244352,1.0019251201125543,2.824396594197196
alpha(30-34),-7.311261335834815,0.023073852587429423,0.0008064896046205199,817.3078849598425,682.0509067032264,1.002850774353481,1.960022650381287
alpha(35-39),-7.008334858220751,0.02359475891874516,0.0007049595070289272,1122.730658592192,599.0505166202572,0.999353531136334,2.6924706852991136
alpha(40-44),-6.6834245122904266,0.023685895998482996,0.0007114926436691869,1120.0208125630713,726.4621622890577,1.0010773269789106,2.6859720821486213
alpha(45-49),-6.251675732759155,0.023087601933733243,0.0006518832837299552,1235.511746482651,754.9339915548478,1.0014006632155756,2.9629360642190825
alpha(50-54),-5.814507305258913,0.023343242109740495,0.0007472812734113457,961.4424993678233,811.9645673546567,1.0009456907025691,2.3056783257299913
alpha(55-59),-5.336995005072749,0.023213886065792323,0.0006229040845833351,1387.5637129619392,787.5253227466077,1.000099807967549,3.3275786962292515
alpha(60-64),-4.736459638624758,0.02338505984053188,0.0006978614202642164,1118.507243060926,813.1789632145536,0.999321739745584,2.682342323324898
alpha(65-69),-4.227897675838005,0.023109409566636353,0.000671080434663205,1162.184314139386,771.2309117106195,1.0006927737419808,2.787086264000696
alpha(70-74),-3.448333113928711,0.024718629898475265,0.0008097402504149946,926.9381541020473,639.9660955164235,1.0041918925305986,2.222931909719555
alpha(75+),-2.2072739381532003,0.023018423931554368,0.0005678228094795542,1611.7214459776897,599.0782287301392,1.004070626797548,3.8651413969617656
beta(25-29),0.06683078827006014,0.00931438181369625,0.0003352056194569595,796.4823742677014,492.3102564237425,0.9992351468926202,1.9100800603078294
beta(30-34),0.0776379338987173,0.0087130997009377,0.00029619426528192826,870.433832617662,571.1744779016435,1.0044847335374252,2.0874263652462344
beta(35-39),0.07586015210489179,0.008654344456688775,0.0003834130646952004,514.4908475159721,451.29721889338606,1.000004074367228,1.2338235481414908
beta(40-44),0.08670962320307897,0.008714359292426772,0.00027161548939855023,1041.5105495824926,812.0118118903296,0.9996033037723383,2.4976931036130274
beta(45-49),0.11023425995510702,0.008776208213264611,0.00023514966429851253,1404.5889506242736,713.3666228426492,1.0004774024823901,3.3684076813159907
beta(50-54),0.09377181241444187,0.008839631338063963,0.00028727118519284535,975.0454874862412,732.313766192598,0.9992358690570493,2.338300260885158
beta(55-59),0.09025068742033618,0.008572842872372744,0.00022053461053492298,1518.6032832897433,815.6239380382405,1.00013572730382,3.6418305597743426
beta(60-64),0.10599277852989131,0.00816048375068182,0.00026745384742648946,916.6437589051484,625.9024604315435,1.0006374325310319,2.198244459458519
beta(65-69),0.08912594496249639,0.008953906665465384,0.0002816407227805699,1017.0599861635943,714.5653744953577,0.9998400212166919,2.4390571122106204
beta(70-74),0.10157874004766555,0.008669929556381276,0.0003010232499719085,817.0439048587257,742.6618523412217,1.0049702243473335,1.959389587875761
beta(75+),0.10200727919331358,0.008297005412029334,0.00025226270148481257,1095.732381568863,649.7826420087217,0.9990096068676492,2.6277249077766154
sigma,0.8853232605612879,0.11610948457963031,0.004161031974992748,815.9562554038778,629.1549376153837,0.9996588485299485,1.9567812469966301
c,-0.19369530133300344,0.1914304324886017,0.008664267926882456,491.89065205982786,384.7221245766526,0.9993857556165288,1.1796250070381422
kappa(1998),-0.1541192041394667,0.8507273359371251,0.09487786794372068,79.76577684373005,248.42355513183807,1.0025659297010894,0.1912898825717946
kappa(1999),-1.988732687256801,0.954977784779307,0.11046769950580036,74.59595389799406,212.7085447641086,1.0058548768341073,0.1788918985824424
kappa(2000),-4.028884865000159,0.940398837674509,0.11072662165526655,72.33318519702522,228.889139569609,1.0022708906364133,0.17346545159950316
kappa(2001),-5.626062757885257,0.9317968266738341,0.10500958105941603,78.63900715406923,236.1072186368193,1.0109009296076819,0.18858772570516066
kappa(2002),-6.842320387925418,0.9462982916549378,0.10847162307437588,75.52373856317368,140.6212609348895,1.0081000934221567,0.18111686054829668
kappa(2003),-7.809722317069334,0.9630768532154576,0.11199293692987583,74.26927375979358,223.51137005306583,1.002437772524002,0.1781084723093261
kappa(2004),-8.783480069325224,0.9520291757613933,0.10696875141323671,78.91459240257818,225.43232179658344,1.0028113420013403,0.18924861903450255
kappa(2005),-9.47407845917106,0.9548176431636244,0.10599160888945323,80.54609968512582,196.4304939491393,1.0021505238518575,0.19316120973245296
kappa(2006),-9.540723817704189,0.9589404471881992,0.11215600631377425,72.75558268373933,202.5936706632944,1.0073938526866466,0.17447842193376645
kappa(2007),-9.333815577823618,0.9520056551690624,0.11365164833126382,69.98154745279626,130.75295483670695,1.010198907570109,0.1678258837830165
kappa(2008),-8.894046227611174,0.9578858264272113,0.11180780784812354,73.37110238473464,241.93599744144694,1.0029144003865968,0.17595452730104305
kappa(2009),-8.335491693206928,0.947773530128406,0.11157500046205647,71.71328579029586,220.6597036065435,1.005302277379544,0.17197884306371597
kappa(2010),-7.750872551541532,0.9381052312443704,0.1070578618801532,77.25133558186192,231.22225277287262,1.0035447133338262,0.1852598883468435
kappa(2011),-7.2070273221248025,0.9592209509464588,0.1100993365133691,75.77904888117904,208.0812961384578,1.0061892282047369,0.18172913165857862
kappa(2012),-6.445291255028147,0.9493606729857325,0.10833995350499795,76.6259313214824,209.98090996978752,1.0034707722706673,0.18376007837492692
kappa(2013),-5.7430436404736325,0.9565132830443778,0.11083277532648096,73.51173977568966,167.7861263917255,1.0035115199322657,0.17629179612817045
kappa(2014),-5.004881663792838,0.9491285642884207,0.10905815158474673,75.86210864218869,239.5267434680919,1.007579745161296,0.18192832099213335
kappa(2015),-4.376976510058813,0.9605852059174792,0.11182075664027513,73.07188803307254,222.47487902654433,1.0041171208736144,0.1752369679609595
kappa(2016),-4.001681135226149,0.9440633025748181,0.10732295289557173,77.02240047491416,254.4813804525055,1.0035413602317453,0.18471086881168128
kappa(2017),-3.871284064214156,0.9517967763074281,0.10911727647749304,75.5421037895975,188.4395953901822,1.0073264762522929,0.1811609030204574
kappa(2018),-3.925852700212555,0.9537173155030194,0.10761868372940964,78.29418405055934,167.9121087532599,1.0035135038415166,0.18776078997421836
Sigma,0.1009751680290367,0.005638906979355192,0.00020546606218414123,756.9677550446416,761.1066242835191,1.0003002814584354,1.8153182818842744
"logmu[25-29, 1997]",-7.086944402888624,0.046881962847532745,0.0014186235045247453,1089.1588032468107,720.1503532540984,1.0012679253433376,2.6119605151378353
