parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
alpha(25-29),-7.267440879520061,0.023816055310050273,0.0007089624740092365,1165.091579271808,741.3550179649822,1.0004628734920689,1.3480160028413806
alpha(30-34),-7.139241910607033,0.022181951085130994,0.0005900016134291068,1411.327175332157,700.435056049432,0.9991047583257424,1.6329116538476258
alpha(35-39),-6.94038701567902,0.02256011227937401,0.0007105228496113337,1015.645774043378,837.0865819991697,1.0008583513794407,1.1751065589920386
alpha(40-44),-6.604116811416506,0.020994890212920597,0.0004899680815912195,1782.1304789175967,850.2053190695661,0.9991595713136322,2.0619326819216877
alpha(45-49),-6.248651149828063,0.02076980765613854,0.0004886873359944042,1809.5254932341886,746.945868797842,1.001659420122732,2.0936288321246748
alpha(50-54),-5.867464781733567,0.021676180654287766,0.0005991774641215518,1294.516351009525,699.8357673731289,0.9995476541640769,1.4977610242375339
alpha(55-59),-5.416778437843754,0.0217545610522816,0.0005232113211257202,1737.0374432449548,811.6504983655492,1.0001170036660008,2.0097598443655103
alpha(60-64),-4.9683988166038695,0.020148052688526707,0.0004935542805913708,1629.5329700232753,666.9480589874423,1.002552939966115,1.8853767032819297
alpha(65-69),-4.422032994768711,0.019856415356791036,0.0005081927130425658,1543.5964130848772,766.1688289050038,1.0017354481007323,1.785947734741574
alpha(70-74),-3.9172001600156943,0.01982015572112125,0.0005117785383454394,1507.5752975154437,660.6572707140917,0.9993139248800614,1.7442711480322755
alpha(75+),-2.8696944511654925,0.01999737423068022,0.00048470339889906836,1670.197475332478,795.7191468104774,1.0019244426644187,1.932425712029117
beta(25-29),0.10215485937526943,0.005944596365826151,0.00015416566787434394,1501.8295911273485,833.285136923363,0.9993954345305195,1.737623340858507
beta(30-34),0.0732012586474598,0.005749245584388706,0.00016412651703366798,1226.6539185167248,935.0420142077835,0.9999003541265163,1.4192438959537532
beta(35-39),0.07864782850229049,0.005696906208117664,0.0001697042412900882,1151.0491204411223,740.1630471874566,0.9995157723025466,1.331768817161061
beta(40-44),0.09569739487632699,0.005434851690460424,0.00015071516128776856,1319.1166721265931,587.2782443837051,1.002306026457946,1.5262237023057859
beta(45-49),0.0956092953057983,0.005732138499405753,0.00016998819876488794,1137.7704506458454,754.1142046885751,1.0067481275098749,1.3164053387024257
beta(50-54),0.0828994553888396,0.005366382935855444,0.00013845866988224613,1484.5059661175178,576.269935131559,1.0000796220249586,1.717579831699278
beta(55-59),0.10001220981841727,0.0056721969737622766,0.00014019066115198144,1634.8567924864597,594.1932308661786,1.0006879201299173,1.8915363889275374
beta(60-64),0.09771679733843418,0.005119848117682675,0.00014261329545129717,1285.29459629717,785.8979512416889,1.0001624856420819,1.4870914140989886
