"age_group","rmse_model_a","rmse_model_b","rmse_model_c"
"15-19",0.000712299957512204,0.000823996294075025,0.000197656729750796
"20-24",0.00176824309857215,0.00190050521786168,0.000505063423566866
"25-29",0.00335987273958988,0.00257838011746705,0.000607365010963932
"30-34",0.00797084416320204,0.00654200796943563,0.00206911916676837
"35-39",0.0457440844135989,0.0359364957828959,0.015984199130158
"40-44",0.336237779408647,0.330072642622344,0.132513258257579
