"year","rmse_model_a","rmse_model_b","rmse_model_c","rmse_model_d"
2014,0.0148185292189052,12.1230416017635,0.168538044075977,0.00594865715813315
2015,0.0146477559729542,11.8032547867326,0.135387103623539,0.0056397153689546
2016,0.0139310379885171,12.2465579154531,0.110364800499131,0.0047680572758197
2017,0.0169521748352145,12.1973431812739,0.11856504656024,0.00574982405045271
2018,0.0271978298975081,12.4287489772904,0.173227821159564,0.00696882167309927
