"model","mean_crps","mean_log_score","coverage_80","coverage_95","mean_interval_width_80","mean_interval_width_95","n_observations"
"Model A",0.00947465791086207,-2.56318101089962,0.990909090909091,0.997727272727273,0.0817115122556723,0.124491845372812,440
"Model B",9.67151396910334,Inf,0,0,0.00268050902995659,0.00272858075561378,440
"Model C",0.0791786961753497,Inf,0.556818181818182,0.584090909090909,0.0865352179152492,0.131682952973549,440
"Model D",0.00818858060460305,-2.57252511884394,1,1,0.0862120954033124,0.131332815296364,440
