"education","rmse_model_a","rmse_model_b","rmse_model_c"
"No Formal Education",0.400188203260007,0.527233176695004,0.425263211448216
"Post Secondary",0.583960049276522,0.287463742687021,0.31481735152291
"Primary",0.125179603590539,0.0628658391650141,0.216386048336692
"Secondary",0.118249863272141,0.0901090714365284,0.142886489492149
