"year","rmse_model_a","rmse_model_b","rmse_model_c"
2014,0.086623355812739,0.0735351073813511,0.051108487598489
2015,0.115685072406569,0.0975610310285801,0.0322072609654049
2016,0.134261330980612,0.163990421700592,0.0244787559677695
2017,0.18366002535999,0.146673242393815,0.0527857347451288
2018,0.15290062328904,0.1690546254296,0.0884038479541766
