"education","crps_model_a","crps_model_b","crps_model_c"
"No Formal Education",0.0779943605996975,0.0732086131742697,0.0232186782861146
"Post Secondary",0.0281669337574936,0.0207037601144054,0.0113775483542668
"Primary",0.0209250395330764,0.0322534067012245,0.0281355236480846
"Secondary",0.0390813092700141,0.0359776452937242,0.0113119466701314
