"model","year","age_group","education","n_observations","mse","rmse"
"Model C",2018,"20-24","Secondary",1,4.37070936141549e-08,0.000209062415594374
"Model C",2018,"25-29","No Formal Education",1,9.18051507911843e-07,0.000958150044571227
"Model C",2018,"25-29","Post Secondary",1,7.21052631389782e-09,8.49148179877801e-05
"Model C",2018,"25-29","Primary",1,3.45486381575417e-07,0.000587780895891843
"Model C",2018,"25-29","Secondary",1,1.81583094769228e-09,4.26125679546807e-05
"Model C",2018,"30-34","No Formal Education",1,7.40858232373337e-06,0.00272187110711242
"Model C",2018,"30-34","Post Secondary",1,1.54228098549415e-09,3.92718854334007e-05
"Model C",2018,"30-34","Primary",1,3.03012377773583e-05,0.00550465600899441
"Model C",2018,"30-34","Secondary",1,1.06605735850682e-06,0.00103250053680704
"Model C",2018,"35-39","No Formal Education",1,1.53301647042128e-05,0.00391537542315074
"Model C",2018,"35-39","Post Secondary",1,4.27767553142415e-06,0.00206825422311285
"Model C",2018,"35-39","Primary",1,2.18020287199628e-06,0.00147655100555188
"Model C",2018,"35-39","Secondary",1,0.000285195769287639,0.01688774020666
"Model C",2018,"40-44","No Formal Education",1,0.000981626748805734,0.031330923203853
"Model C",2018,"40-44","Post Secondary",1,2.63934996191535e-06,0.00162460763321959
"Model C",2018,"40-44","Primary",1,0.186232459270702,0.431546589918983
"Model C",2018,"40-44","Secondary",1,7.11058581602144e-08,0.000266656817201838
