"model","year","age_group","education","n_observations","mse","rmse"
"Model A",2017,"20-24","Primary",1,3.17480957644933e-07,0.000563454485868142
"Model A",2017,"20-24","Secondary",1,2.39004605310649e-08,0.000154597737794138
"Model A",2017,"25-29","No Formal Education",1,2.30611699638228e-05,0.00480220469824255
"Model A",2017,"25-29","Post Secondary",1,5.46413113181318e-08,0.00023375481025667
"Model A",2017,"25-29","Primary",1,3.05437785237373e-06,0.00174767784570662
"Model A",2017,"25-29","Secondary",1,1.97372292911948e-07,0.000444266015931838
"Model A",2017,"30-34","No Formal Education",1,0.0002049644033238,0.0143165779194541
"Model A",2017,"30-34","Post Secondary",1,3.74986526340452e-07,0.000612361434400022
"Model A",2017,"30-34","Primary",1,2.75177221001323e-07,0.000524573370465298
"Model A",2017,"30-34","Secondary",1,1.65012421105203e-05,0.00406217209267656
"Model A",2017,"35-39","No Formal Education",1,0.000169849152361334,0.0130326187837032
"Model A",2017,"35-39","Post Secondary",1,0.0046769049954068,0.0683879009431259
"Model A",2017,"35-39","Primary",1,1.30853841385772e-07,0.000361737254627958
"Model A",2017,"35-39","Secondary",1,0.000334759129490627,0.0182964239536207
"Model A",2017,"40-44","No Formal Education",1,0.751457076054281,0.866866238847886
"Model A",2017,"40-44","Post Secondary",1,0.0526443116100672,0.229443482387422
"Model A",2017,"40-44","Primary",1,8.63077412259501e-06,0.00293781791855707
"Model A",2017,"40-44","Secondary",1,2.43639713963091e-06,0.00156089626164935
"Model A",2018,"15-19","No Formal Education",1,6.53088379515079e-08,0.000255555938986962
"Model A",2018,"15-19","Post Secondary",1,3.3286119224904e-08,0.000182444838855211
"Model A",2018,"15-19","Primary",1,1.40102678568015e-08,0.000118364977323537
"Model A",2018,"15-19","Secondary",1,2.23617121701876e-09,4.72881720625651e-05
"Model A",2018,"20-24","No Formal Education",1,2.2412154933629e-05,0.004734147751563
"Model A",2018,"20-24","Post Secondary",1,1.96428130574388e-07,0.000443202132863085
"Model A",2018,"20-24","Primary",1,1.46058739753371e-06,0.00120854763974521
"Model A",2018,"20-24","Secondary",1,2.71859046602903e-09,5.21401042004044e-05
"Model A",2018,"25-29","No Formal Education",1,1.77894149255759e-07,0.000421774998376812
"Model A",2018,"25-29","Post Secondary",1,1.59596712875687e-06,0.00126331592594919
"Model A",2018,"25-29","Primary",1,6.49138487886965e-07,0.000805691310544532
"Model A",2018,"25-29","Secondary",1,3.29162289704497e-07,0.000573726668113395
"Model A",2018,"30-34","No Formal Education",1,0.000754226371057442,0.0274631820999942
"Model A",2018,"30-34","Post Secondary",1,3.63885442807313e-06,0.00190757815778886
"Model A",2018,"30-34","Primary",1,4.08861153065427e-05,0.00639422515294408
"Model A",2018,"30-34","Secondary",1,2.81277019714971e-05,0.00530355559709683
"Model A",2018,"35-39","No Formal Education",1,0.00359702456484895,0.0599751995815683
"Model A",2018,"35-39","Post Secondary",1,1.16798415460805e-05,0.00341757831601275
"Model A",2018,"35-39","Primary",1,0.000120742086184874,0.0109882703909612
"Model A",2018,"35-39","Secondary",1,0.000895052042820726,0.0299174203904803
"Model A",2018,"40-44","No Formal Education",1,0.106177740850422,0.325849260932755
"Model A",2018,"40-44","Post Secondary",1,0.00178314617906281,0.0422273155559623
"Model A",2018,"40-44","Primary",1,0.139057659981458,0.372904357686335
"Model A",2018,"40-44","Secondary",1,0.308589550970632,0.555508371647658
"Model B",2014,"15-19","No Formal Education",1,1.14153107645547e-06,0.00106842457686795
"Model B",2014,"15-19","Post Secondary",1,2.46313119754718e-09,4.96299425503111e-05
"Model B",2014,"15-19","Primary",1,1.5263078489813e-08,0.000123543832261319
"Model B",2014,"15-19","Secondary",1,2.71308466858095e-08,0.0001647144398218
"Model B",2014,"20-24","No Formal Education",1,1.44436082668581e-05,0.00380047474229972
"Model B",2014,"20-24","Post Secondary",1,4.51957439856508e-09,6.72277799615983e-05
"Model B",2014,"20-24","Primary",1,6.64938350262253e-07,0.00081543752075941
"Model B",2014,"20-24","Secondary",1,3.98845491131393e-08,0.000199711164217575
"Model B",2014,"25-29","No Formal Education",1,2.25643172638801e-05,0.00475019128708309
"Model B",2014,"25-29","Post Secondary",1,1.25018234949753e-08,0.000111811553495045
"Model B",2014,"25-29","Primary",1,5.38211143130113e-07,0.000733628750206883
"Model B",2014,"25-29","Secondary",1,2.11929463221699e-07,0.000460357972909886
"Model B",2014,"30-34","No Formal Education",1,4.07072189975161e-05,0.0063802209207453
