"model","mean_crps","mean_log_score","coverage_80","coverage_95","mean_interval_width_80","mean_interval_width_95","n_observations"
"Model A",0.0415419107900704,-1.75674044791046,0.875,0.9,0.0911633633602396,0.138936660105306,120
"Model B",0.040535856320906,-2.1575746981005,0.883333333333333,0.933333333333333,0.093583928575966,0.143006297181198,120
"Model C",0.0185109242396493,-2.17961935977121,0.975,0.983333333333333,0.123500159058228,0.188788951323079,120
