"education","rmse_model_a","rmse_model_b","rmse_model_c"
"No Formal Education",0.219141464320351,0.215854962966699,0.0464648181399799
"Post Secondary",0.0790268944370892,0.0627158589717236,0.0249577426203554
"Primary",0.0756604083341122,0.0985489335170736,0.0933401492036775
"Secondary",0.129711807454571,0.115283168725901,0.0196439133444201
