"model","year","age_group","sex","education","n_observations","mse","rmse","grouping","sqrt_mse","diff","within_tolerance"
"Model A",,"Age 04",,,40,0.000211298338222718,0.0145361046440482,"model_age_group",0.0145361046440482,0,TRUE
"Model A",,"Age 05",,,40,4.54949420342558e-05,0.00674499384983084,"model_age_group",0.00674499384983084,0,TRUE
"Model A",,"Age 06",,,40,7.09304469128744e-05,0.00842202154550049,"model_age_group",0.00842202154550049,0,TRUE
"Model A",,"Age 07",,,40,6.70940065968856e-05,0.00819109312588287,"model_age_group",0.00819109312588287,0,TRUE
"Model A",,"Age 08",,,40,3.68604798743141e-05,0.00607128321480016,"model_age_group",0.00607128321480016,0,TRUE
"Model A",,"Age 09",,,40,4.76254728515462e-06,0.00218232611796556,"model_age_group",0.00218232611796556,0,TRUE
"Model A",,"Age 10",,,40,3.70112081278116e-05,0.00608368376296891,"model_age_group",0.00608368376296891,0,TRUE
"Model A",,"Age 11",,,40,2.32593056483575e-06,0.00152510018190142,"model_age_group",0.00152510018190142,0,TRUE
"Model B",,"Age 01",,,40,184.609839485085,13.587120352933,"model_age_group",13.587120352933,0,TRUE
"Model B",,"Age 02",,,40,202.066039673376,14.2149934812991,"model_age_group",14.2149934812991,0,TRUE
"Model B",,"Age 03",,,40,106.008687757377,10.2960520471381,"model_age_group",10.2960520471381,0,TRUE
"Model B",,"Age 04",,,40,66.2626645967433,8.14018824086663,"model_age_group",8.14018824086663,0,TRUE
"Model B",,"Age 05",,,40,223.840501855868,14.9613001392214,"model_age_group",14.9613001392214,0,TRUE
"Model B",,"Age 06",,,40,226.798814798055,15.0598411279155,"model_age_group",15.0598411279155,0,TRUE
"Model B",,"Age 07",,,40,51.0200869328969,7.14283465669596,"model_age_group",7.14283465669596,0,TRUE
"Model B",,"Age 08",,,40,47.4336721081746,6.88721076403028,"model_age_group",6.88721076403028,0,TRUE
"Model B",,"Age 09",,,40,175.033866587067,13.230036530073,"model_age_group",13.230036530073,0,TRUE
"Model B",,"Age 10",,,40,276.151496629507,16.6178066130734,"model_age_group",16.6178066130734,0,TRUE
"Model B",,"Age 11",,,40,67.701002018188,8.22806186280754,"model_age_group",8.22806186280754,0,TRUE
"Model C",,"Age 01",,,40,0.0182663343442632,0.135153003460016,"model_age_group",0.135153003460016,0,TRUE
"Model C",,"Age 02",,,40,0.0130674483971902,0.11431294063749,"model_age_group",0.11431294063749,0,TRUE
"Model C",,"Age 03",,,40,0.0126604846811186,0.112518819230912,"model_age_group",0.112518819230912,0,TRUE
"Model C",,"Age 04",,,40,0.0101539083826796,0.1007666035087,"model_age_group",0.1007666035087,0,TRUE
"Model C",,"Age 05",,,40,0.0124376185735513,0.111524071722437,"model_age_group",0.111524071722437,0,TRUE
"Model C",,"Age 06",,,40,0.0186963545105096,0.136734613432406,"model_age_group",0.136734613432406,0,TRUE
"Model C",,"Age 07",,,40,0.0133082872327757,0.115361550062297,"model_age_group",0.115361550062297,0,TRUE
"Model C",,"Age 08",,,40,0.0336813297262174,0.183524738730824,"model_age_group",0.183524738730824,0,TRUE
