"model","year","age_group","sex","education","n_observations","mse","rmse","grouping","sqrt_mse","diff","within_tolerance"
"Model A",2014,"25-29",,"Post Secondary",1,1.12975346192543e-06,0.00106289861319198,"model_year_age_group_education",0.00106289861319198,0,TRUE
"Model A",2014,"25-29",,"Primary",1,1.29005819142179e-07,0.000359173800745793,"model_year_age_group_education",0.000359173800745793,0,TRUE
"Model A",2014,"25-29",,"Secondary",1,8.32775949286168e-09,9.12565586292935e-05,"model_year_age_group_education",9.12565586292935e-05,0,TRUE
"Model A",2014,"30-34",,"No Formal Education",1,2.33254104876818e-05,0.00482963875333153,"model_year_age_group_education",0.00482963875333153,0,TRUE
"Model A",2014,"30-34",,"Post Secondary",1,1.75302357219671e-06,0.0013240179652092,"model_year_age_group_education",0.0013240179652092,0,TRUE
"Model A",2014,"30-34",,"Primary",1,1.32418232177285e-05,0.00363893160388162,"model_year_age_group_education",0.00363893160388162,0,TRUE
"Model A",2014,"30-34",,"Secondary",1,1.27536797997921e-05,0.00357122945213439,"model_year_age_group_education",0.00357122945213439,0,TRUE
"Model A",2014,"35-39",,"No Formal Education",1,0.000130077246887057,0.0114051412480099,"model_year_age_group_education",0.0114051412480099,0,TRUE
"Model A",2014,"35-39",,"Post Secondary",1,0.00903097483715586,0.095031441308421,"model_year_age_group_education",0.095031441308421,0,TRUE
"Model A",2014,"35-39",,"Primary",1,0.000340078758164901,0.018441224421521,"model_year_age_group_education",0.018441224421521,0,TRUE
"Model A",2014,"35-39",,"Secondary",1,0.00277768592571306,0.0527037562770725,"model_year_age_group_education",0.0527037562770725,0,TRUE
"Model A",2014,"40-44",,"No Formal Education",1,0.0896191207831422,0.299364528264693,"model_year_age_group_education",0.299364528264693,0,TRUE
"Model A",2014,"40-44",,"Post Secondary",1,0.0476687418620773,0.218331724360152,"model_year_age_group_education",0.218331724360152,0,TRUE
"Model A",2014,"40-44",,"Primary",1,0.028633838913131,0.169215362521052,"model_year_age_group_education",0.169215362521052,0,TRUE
"Model A",2014,"40-44",,"Secondary",1,0.00176066378988327,0.0419602644162698,"model_year_age_group_education",0.0419602644162698,0,TRUE
"Model A",2015,"15-19",,"No Formal Education",1,1.62034248821205e-06,0.0012729267411018,"model_year_age_group_education",0.0012729267411018,0,TRUE
"Model A",2015,"15-19",,"Post Secondary",1,5.55896169058729e-08,0.000235774504359298,"model_year_age_group_education",0.000235774504359298,0,TRUE
"Model A",2015,"15-19",,"Primary",1,2.43146410784465e-08,0.00015593152689064,"model_year_age_group_education",0.00015593152689064,0,TRUE
"Model A",2015,"15-19",,"Secondary",1,9.45207711050774e-09,9.72217933927766e-05,"model_year_age_group_education",9.72217933927766e-05,0,TRUE
"Model A",2015,"20-24",,"No Formal Education",1,6.33803857200403e-06,0.00251754614098809,"model_year_age_group_education",0.00251754614098809,0,TRUE
"Model A",2015,"20-24",,"Post Secondary",1,7.33241027307305e-08,0.00027078423648863,"model_year_age_group_education",0.00027078423648863,0,TRUE
"Model A",2015,"20-24",,"Primary",1,9.58199669566605e-08,0.000309548004284732,"model_year_age_group_education",0.000309548004284732,0,TRUE
"Model A",2015,"20-24",,"Secondary",1,1.81962598697591e-10,1.34893513075163e-05,"model_year_age_group_education",1.34893513075163e-05,0,TRUE
"Model A",2015,"25-29",,"No Formal Education",1,8.39835463300608e-05,0.00916425372466634,"model_year_age_group_education",0.00916425372466634,0,TRUE
"Model A",2015,"25-29",,"Post Secondary",1,3.52157586214849e-07,0.000593428669862561,"model_year_age_group_education",0.000593428669862561,0,TRUE
"Model A",2015,"25-29",,"Primary",1,2.39398017427013e-11,4.89283166915655e-06,"model_year_age_group_education",4.89283166915655e-06,0,TRUE
"Model A",2015,"25-29",,"Secondary",1,2.78952439928239e-07,0.000528159483421664,"model_year_age_group_education",0.000528159483421664,0,TRUE
"Model A",2015,"30-34",,"No Formal Education",1,8.71217852842117e-05,0.00933390514651888,"model_year_age_group_education",0.00933390514651888,0,TRUE
"Model A",2015,"30-34",,"Post Secondary",1,3.66669598419703e-06,0.00191486187078782,"model_year_age_group_education",0.00191486187078782,0,TRUE
"Model A",2015,"30-34",,"Primary",1,4.15883338632065e-09,6.44890175636181e-05,"model_year_age_group_education",6.44890175636181e-05,0,TRUE
"Model A",2015,"30-34",,"Secondary",1,2.58798160112709e-05,0.0050872208534003,"model_year_age_group_education",0.0050872208534003,0,TRUE
"Model A",2015,"35-39",,"No Formal Education",1,0.00647442377932922,0.0804638041564605,"model_year_age_group_education",0.0804638041564605,0,TRUE
"Model A",2015,"35-39",,"Post Secondary",1,0.000834261936232628,0.0288835928553327,"model_year_age_group_education",0.0288835928553327,0,TRUE
"Model A",2015,"35-39",,"Primary",1,0.000130330826491877,0.0114162527342327,"model_year_age_group_education",0.0114162527342327,0,TRUE
"Model A",2015,"35-39",,"Secondary",1,0.0014564124135364,0.0381629717597621,"model_year_age_group_education",0.0381629717597621,0,TRUE
"Model A",2015,"40-44",,"No Formal Education",1,0.100538960230722,0.317078791833705,"model_year_age_group_education",0.317078791833705,0,TRUE
"Model A",2015,"40-44",,"Post Secondary",1,0.0620641289380128,0.249126732684417,"model_year_age_group_education",0.249126732684417,0,TRUE
"Model A",2015,"40-44",,"Primary",1,0.000914952304209251,0.030248178527132,"model_year_age_group_education",0.030248178527132,0,TRUE
"Model A",2015,"40-44",,"Secondary",1,0.148569888836747,0.385447647335856,"model_year_age_group_education",0.385447647335856,0,TRUE
"Model A",2016,"15-19",,"No Formal Education",1,6.43952160938753e-06,0.00253762125018442,"model_year_age_group_education",0.00253762125018442,0,TRUE
"Model A",2016,"15-19",,"Post Secondary",1,5.67513931283067e-08,0.000238225508979006,"model_year_age_group_education",0.000238225508979006,0,TRUE
"Model A",2016,"15-19",,"Primary",1,1.80428860441722e-09,4.24769184901308e-05,"model_year_age_group_education",4.24769184901308e-05,0,TRUE
