1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"[4.624274, 4.160489, 3.690568, 2.575763, 0.513956, -2.074548]","[5.164628, 4.757115, 4.273231, 2.942234, 0.84171, -1.66306]","[5.566525, 5.214834, 4.6995, 3.316415, 1.210638, -1.205933]","[5.819197, 5.531508, 4.969411, 3.528523, 1.427781, -1.206408]","[6.033086, 5.73812, 5.182503, 3.684724, 1.578762, -1.363213]","[6.195766, 5.904352, 5.281888, 3.873444, 1.668844, -0.878168]","[6.295849, 5.99559, 5.316393, 4.024059, 1.778892, -0.508635]","[6.267372, 5.926456, 5.238689, 4.050202, 1.876055, -0.305143]","[6.155997, 5.777082, 5.019139, 4.034859, 1.849974, -0.882125]","[6.071944, 5.638929, 4.853309, 4.017593, 1.604405, -1.111221]","[4.154372, 3.867951, 3.201011, 2.56466, 0.612849, -1.981871]","[4.089014, 3.777231, 3.14689, 2.567694, 0.501003, -2.083942]","[4.066496, 3.70737, 3.120102, 2.559905, 0.328194, -2.013548]","[4.26716, 3.811831, 3.421439, 2.699376, 0.452787, -2.012223]","[4.278181, 3.813824, 3.526952, 2.753032, 0.30237, -1.934127]","[4.357918, 3.835824, 3.622877, 2.763766, 0.609885, -1.928868]","[4.307865, 3.810639, 3.643339, 2.638179, 0.406868, -2.364171]","[4.136115, 3.677386, 3.526899, 2.565023, 0.167789, -2.474172]","[3.982745, 3.532453, 3.398479, 2.366369, 0.171575, -1.453507]","[4.04908, 3.612106, 3.360847, 2.282888, 0.261463, -3.147927]","[3.829208, 3.51303, 3.087621, 2.048615, -0.014274, -1.957676]"
"[4.690198, 4.176469, 3.582312, 2.290442, -0.0537, -1.688945]","[4.789216, 4.269256, 3.657628, 2.405701, 0.032444, -1.867316]","[4.839228, 4.324284, 3.673058, 2.436115, -0.100928, -1.766382]","[4.817451, 4.301319, 3.636175, 2.462248, -0.226345, -2.36268]","[4.821051, 4.279482, 3.615415, 2.421182, -0.156245, -3.12845]","[4.849257, 4.311195, 3.627042, 2.436857, -0.210733, -2.772703]","[4.879419, 4.310014, 3.63522, 2.488356, -0.224653, -2.073582]","[4.861694, 4.268488, 3.620429, 2.424555, -0.161413, -2.127093]","[4.831701, 4.237934, 3.578422, 2.370828, -0.104222, -1.986807]","[4.770668, 4.171098, 3.517021, 2.28986, -0.108538, -1.878997]","[5.167111, 4.613011, 3.945229, 2.74078, 0.423738, -1.881642]","[5.010556, 4.490662, 3.806101, 2.597125, 0.23682, -2.119501]","[4.824045, 4.329135, 3.613457, 2.396185, 0.078106, -2.228164]","[4.7089, 4.252948, 3.50143, 2.299996, -0.144263, -2.443377]","[4.593367, 4.153389, 3.394894, 2.173566, -0.309991, -2.818189]","[4.481335, 4.04626, 3.285671, 2.053308, -0.451622, -2.515434]","[4.431908, 4.000942, 3.266982, 1.969943, -0.585654, -2.945465]","[4.343029, 3.901916, 3.188882, 1.929424, -0.662409, -2.894678]","[4.333432, 3.868557, 3.155637, 1.892871, -0.608237, -2.850909]","[4.358103, 3.871327, 3.230904, 1.930361, -0.63347, -2.855238]","[4.396519, 3.879538, 3.246821, 2.018306, -0.576882, -3.200246]"
"[4.481673, 4.151566, 3.415115, 2.004769, -0.571343, -0.864391]","[4.377805, 4.045572, 3.286522, 1.848934, -0.738309, -1.307885]","[4.258439, 3.913955, 3.142404, 1.696696, -0.603825, -1.403116]","[4.115019, 3.766581, 2.980196, 1.532195, -0.914464, -2.505113]","[4.02235, 3.657581, 2.878769, 1.441007, -1.054045, -2.820096]","[4.008548, 3.602782, 2.836018, 1.400575, -1.187923, -2.852941]","[4.015275, 3.579623, 2.866175, 1.408339, -1.12504, -1.751904]","[4.045795, 3.587458, 2.89774, 1.501198, -1.203399, -2.193149]","[4.067451, 3.595817, 2.943244, 1.516554, -1.197833, -2.1209]","[4.092456, 3.62989, 3.003721, 1.554734, -1.016728, -2.064672]","[3.659364, 3.185568, 2.611484, 1.238075, -1.383668, -2.577358]","[3.73148, 3.279032, 2.674297, 1.340125, -1.443085, -3.27999]","[3.7176, 3.298545, 2.699872, 1.378975, -1.140271, -2.330803]","[3.786534, 3.378587, 2.805294, 1.560426, -0.994095, -2.214181]","[3.846056, 3.454427, 2.867419, 1.696238, -0.759399, -2.084163]","[3.876285, 3.467017, 2.919731, 1.704912, -0.876473, -2.476258]","[3.980485, 3.550066, 3.022407, 1.785117, -0.738838, -2.212916]","[4.055953, 3.626557, 3.099666, 1.849446, -0.765077, -2.633808]","[4.107595, 3.663676, 3.136692, 1.866527, -0.629223, -2.272356]","[4.207143, 3.766648, 3.245093, 1.951972, -0.804031, -1.84843]","[4.283229, 3.856623, 3.270683, 2.038333, -0.633769, -2.61616]"
"[4.393683, 4.434696, 3.796461, 2.305921, -0.488355, -0.818639]","[4.42067, 4.440461, 3.943337, 2.44589, -0.345422, -1.188125]","[4.414437, 4.450848, 4.049851, 2.550173, -0.100221, -1.150382]","[4.408057, 4.399813, 4.064303, 2.581701, -0.232006, -2.358455]","[4.435925, 4.403143, 4.096255, 2.583351, -0.33833, -1.884237]","[4.516233, 4.450263, 4.138663, 2.629003, 0.039363, -2.589717]","[4.633419, 4.505518, 4.165231, 2.699515, -0.267236, -1.32523]","[4.734663, 4.566286, 4.174954, 2.674676, -0.300402, -1.88194]","[4.842099, 4.632247, 4.121886, 2.662329, -0.184753, -1.62796]","[4.915863, 4.691025, 4.102664, 2.595101, -0.040675, -1.837089]","[5.564119, 5.121146, 4.389063, 2.83565, 0.076792, -0.951886]","[5.547519, 5.177663, 4.366713, 2.866134, 0.072258, -1.402414]","[5.480616, 5.177507, 4.376501, 2.872456, 0.133779, -1.215862]","[5.412585, 5.192128, 4.431087, 2.909645, 0.086132, -1.086159]","[5.342284, 5.162113, 4.430639, 2.934125, 0.209354, -1.176619]","[5.23621, 5.109454, 4.428404, 2.891381, 0.276406, -1.027409]","[5.159095, 5.057756, 4.438651, 2.862343, 0.326122, -1.536815]","[5.054171, 4.952401, 4.398667, 2.83284, 0.134853, -1.012315]","[4.831875, 4.726219, 4.223659, 2.707235, 0.13022, -1.548713]","[4.612005, 4.514487, 4.037355, 2.601541, 0.034842, -1.901567]","[4.330056, 4.236743, 3.770954, 2.398311, -0.258802, -1.855989]"
