1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
163.965,169.112,172.384,173.67,172.924,170.171,165.508,159.095,151.797,147.526,146.668,149.166,155.191,165.416,182.258,207.894,245.496,300.119,379.829,497.657,675.023
173.682,177.848,180.736,182.279,182.444,181.227,178.655,174.786,170.15,167.421,166.946,168.705,172.771,179.76,192.915,214.084,245.667,291.511,357.692,453.845,595.457
157.622,149.233,143.512,140.182,139.084,140.165,143.477,149.177,156.983,163.666,168.448,171.151,171.671,171.168,176.841,190.626,214.397,251.591,308.042,393.516,524.51
122.391,119.229,118.039,118.763,121.437,126.191,133.266,143.028,155.203,165.1,171.288,173.317,171.037,165.992,166.551,174.213,189.973,215.963,255.942,316.215,407.285
79.852,81.93,85.117,89.54,95.377,102.87,112.346,124.237,138.336,149.978,157.434,160.01,157.461,151.383,150.055,154.735,165.995,185.255,215.086,259.789,326.435
38.546,42.652,47.391,52.873,59.232,66.63,75.261,85.361,96.776,106.73,113.986,117.885,118.062,115.552,116.762,122.928,134.843,154.11,183.511,227.677,294.309
