1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
515.838,606.48,700.061,793.36,882.717,964.246,1034.118,1088.851,1126.697,1152.475,1166.45,1168.184,1157.621,1135.449,1104.403,1065.569,1019.835,968.217,911.821,851.806,789.344
434.244,518.131,603.313,685.557,760.225,822.693,868.823,895.41,903.597,911.117,921.053,933.482,948.502,963.78,964.502,948.222,915.796,868.899,809.882,741.577,667.071
371.165,466.286,564.132,657.283,737.508,796.938,829.326,831.131,806.384,781.73,761.202,744.51,731.424,721.029,708.863,694.313,677.534,658.704,638.018,615.685,591.926
247.024,331.18,425.045,522.219,614.209,691.553,745.386,769.1,762.867,745.908,721.955,691.71,656.034,617.117,582.573,553.0,527.828,506.584,488.88,474.401,462.893
154.046,207.147,268.878,336.884,407.431,475.638,535.979,582.999,612.892,627.459,626.353,609.658,578.609,537.753,502.193,473.275,450.103,431.981,418.382,408.919,403.326
97.316,129.442,166.782,208.164,251.677,294.758,334.403,367.499,391.916,409.901,421.194,425.208,421.734,411.926,401.893,392.59,383.978,376.021,368.685,361.941,355.76
