1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
290.87,172.593,111.336,78.081,59.53,49.343,44.463,43.558,45.655,46.512,45.329,42.258,37.685,32.53,29.178,27.518,27.288,28.453,31.194,35.958,43.584
322.825,186.385,117.8,81.501,61.727,51.177,46.448,46.147,49.409,51.899,52.65,51.585,48.814,44.967,42.296,40.944,40.793,41.828,44.142,47.943,53.592
337.33,197.65,127.889,91.384,72.111,62.839,60.472,64.265,73.77,80.085,80.424,74.709,64.198,51.938,43.974,39.658,38.096,38.979,42.482,49.317,60.981
367.162,256.987,188.307,144.452,116.006,97.531,85.843,79.099,75.67,71.499,66.173,59.989,53.268,46.737,42.702,40.985,41.322,43.766,48.693,56.91,69.871
364.258,238.759,167.778,126.396,102.084,88.39,82.049,81.652,86.011,88.846,88.856,86.041,80.665,73.759,68.733,65.753,64.576,65.106,67.387,71.603,78.107
326.399,221.568,160.314,123.634,101.627,89.04,83.151,82.766,86.977,91.142,94.332,96.433,97.368,97.239,96.852,96.344,95.717,94.975,94.118,93.151,92.077
