"Dataset","Education","Sex","Model","Mean_Observed","Median_Observed","SD_Observed","Mean_CRPS","Median_CRPS","SD_CRPS"
"mxf1","No Formal Education","Female","Observed Data",1.62743650371291,1.35443520378985,0.990497711901377,NA,NA,NA
"mxf1","No Formal Education","Female","Model 1",NA,NA,NA,0.977562881191022,0.717217452325628,0.856603098985855
"mxf1","No Formal Education","Female","Model 2",NA,NA,NA,7.67658852532419,5.45932182350743,6.78243433002834
"mxf1","No Formal Education","Female","Model 3",NA,NA,NA,6.88022320730454,6.7431420638354,1.31893519192948
"mxf1","No Formal Education","Female","Model 4",NA,NA,NA,6.88008877514848,6.74033411244726,1.31841577004482
"mxf2","Primary","Female","Observed Data",1.30210315625909,1.05142591333755,1.41607043650868,NA,NA,NA
"mxf2","Primary","Female","Model 1",NA,NA,NA,1.72328534175992,1.48439148009753,1.30215515679602
"mxf2","Primary","Female","Model 2",NA,NA,NA,8.66107322496072,8.22591981117922,4.49264646438951
"mxf2","Primary","Female","Model 3",NA,NA,NA,6.89113528309164,6.90011334836886,2.16864084503942
"mxf2","Primary","Female","Model 4",NA,NA,NA,6.8914942407382,6.89741505638883,2.16968179819167
"mxf3","Secondary","Female","Observed Data",1.40311848731878,1.09790239577417,1.6482375917816,NA,NA,NA
"mxf3","Secondary","Female","Model 1",NA,NA,NA,1.7952671067059,1.52724030503965,1.31943263680398
"mxf3","Secondary","Female","Model 2",NA,NA,NA,15.7969021659886,12.4115640996375,9.37458440788872
"mxf3","Secondary","Female","Model 3",NA,NA,NA,6.88943158234447,6.88233007827868,2.24065037294516
"mxf3","Secondary","Female","Model 4",NA,NA,NA,6.88969318895003,6.88116688290625,2.24111232204688
"mxf4","Postsecondary","Female","Observed Data",2.26884666691711,1.67797448959887,1.99950501546681,NA,NA,NA
"mxf4","Postsecondary","Female","Model 1",NA,NA,NA,2.28765721496387,1.73808903339017,1.95672443905417
"mxf4","Postsecondary","Female","Model 2",NA,NA,NA,8.84856541814176,6.87133047223043,7.0918720159633
"mxf4","Postsecondary","Female","Model 3",NA,NA,NA,6.90895905737604,6.87500667416601,2.96833459838359
"mxf4","Postsecondary","Female","Model 4",NA,NA,NA,6.90922368672927,6.87913327296511,2.9685903236233
"mxm1","No Formal Education","Male","Observed Data",2.12749058163266,1.92026262364955,0.754737955867933,NA,NA,NA
"mxm1","No Formal Education","Male","Model 1",NA,NA,NA,0.725529151293959,0.536102047326483,0.645977526858215
"mxm1","No Formal Education","Male","Model 2",NA,NA,NA,7.04119256338996,6.63022452134086,4.25725950622147
"mxm1","No Formal Education","Male","Model 3",NA,NA,NA,6.94225199669008,6.82820017340545,0.982313311379526
"mxm1","No Formal Education","Male","Model 4",NA,NA,NA,6.88681932923095,6.87091362005905,0.985537760254949
"mxm2","Primary","Male","Observed Data",1.96636857732216,1.68212398411551,1.07740056043766,NA,NA,NA
"mxm2","Primary","Male","Model 1",NA,NA,NA,1.33048963378717,1.09751534067713,1.01879614003779
"mxm2","Primary","Male","Model 2",NA,NA,NA,9.22222551256182,7.43195124044101,7.24930167647035
"mxm2","Primary","Male","Model 3",NA,NA,NA,6.99975988613102,7.10364045808823,1.65368095503716
"mxm2","Primary","Male","Model 4",NA,NA,NA,6.8964124123807,7.00181146743992,1.6838424716037
"mxm3","Secondary","Male","Observed Data",2.12817124992649,1.69891580279443,1.29362886090141,NA,NA,NA
"mxm3","Secondary","Male","Model 1",NA,NA,NA,1.39237849592098,1.11638336678883,1.10859871043987
"mxm3","Secondary","Male","Model 2",NA,NA,NA,8.53345868414898,8.7182610660122,4.35873335503261
"mxm3","Secondary","Male","Model 3",NA,NA,NA,7.01468212692358,7.03316642931188,1.78448887061055
"mxm3","Secondary","Male","Model 4",NA,NA,NA,6.89476963168447,6.89844368928692,1.79060646811654
"mxm4","Postsecondary","Male","Observed Data",2.71278526651618,2.28341802527649,1.28037267797553,NA,NA,NA
"mxm4","Postsecondary","Male","Model 1",NA,NA,NA,1.37328288165368,0.894926446955632,1.36168913310109
"mxm4","Postsecondary","Male","Model 2",NA,NA,NA,9.95555251871038,9.75109954150952,8.56881792829445
"mxm4","Postsecondary","Male","Model 3",NA,NA,NA,6.61482561689558,7.0269206565567,2.33436835684944
"mxm4","Postsecondary","Male","Model 4",NA,NA,NA,6.89131875121823,6.99733653140233,1.94504408351661
